top - 00:43:49 up  3:26,  2 users,  load average: 0.08, 0.17, 0.28
Tasks: 126 total,   1 running, 123 sleeping,   1 stopped,   1 zombie
%Cpu(s):  3.8 us,  3.8 sy,  0.0 ni, 92.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :    475.6 total,     80.5 free,     65.7 used,    329.4 buff/cache
MiB Swap:    512.0 total,    512.0 free,      0.0 used.    352.1 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  427 root      20   0    2800   1788   1448 S   0.0   0.4   0:00.49 dhcpcd
  464 root      20   0   27692     80      0 S   0.0   0.0   0:00.17 rngd
  475 root      20   0   12028   3492   2920 S   0.0   0.7   0:00.18 wpa_supplicant
  492 root      20   0   47160  18300  12596 S   0.0   3.8   0:00.58 unattended-upgr
  499 mosquit+  20   0   12204   5376   4776 S   0.0   1.1   0:05.37 mosquitto
  506 root      20   0   48580   8540   7444 S   0.0   1.8   0:00.30 ModemManager
  507 root      20   0    8260   3604   3060 S   0.0   0.7   0:00.06 login
  510 root      20   0   12380   6112   5440 S   0.0   1.3   0:00.10 sshd
  514 root      20   0    8352   4100   3700 S   0.0   0.8   0:00.10 lircd
  518 root      20   0       0      0      0 Z   0.0   0.0   0:00.00 sh
  544 root      20   0    7740   4832   3656 S   0.0   1.0   0:00.86 apache2
  615 root      20   0    2052    120      0 S   0.0   0.0   0:00.00 hciattach
  618 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u9:2-hci0
  630 root      20   0   21464   7896   7076 S   0.0   1.6   0:00.12 bluetoothd
  642 pi        20   0   14368   7460   6520 S   0.0   1.5   0:00.52 systemd
  643 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
  657 pi        20   0   37372   3632   1560 S   0.0   0.7   0:00.00 (sd-pam)
  688 pi         9 -11   26044   4504   3800 S   0.0   0.9   0:00.03 pipewire
  689 pi         9 -11   97600   7324   6352 S   0.0   1.5   0:00.14 pulseaudio
  690 pi        20   0    8600   3932   2964 S   0.0   0.8   0:00.20 bash
  698 rtkit     21   1   24204   2404   2200 S   0.0   0.5   0:00.27 rtkit-daemon
  710 pi        20   0    7556   3116   2840 S   0.0   0.6   0:00.03 dbus-daemon
  712 pi         9 -11   19440   4736   3972 S   0.0   1.0   0:00.09 pipewire-media-
  715 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
  917 root      20   0   14464   7088   6140 S   0.0   1.5   0:00.22 sshd
  924 pi        20   0   15104   4940   3328 S   0.0   1.0   0:25.45 sshd
  925 pi        20   0    4740   3776   3204 S   0.0   0.8   0:10.65 sftp-server
 1043 root      20   0       0      0      0 I   0.0   0.0   0:01.05 kworker/2:0-events_power_efficient
 1138 root      20   0   14464   7028   6080 S   0.0   1.4   0:00.20 sshd
 1145 pi        20   0   14464   4340   3388 S   0.0   0.9   0:01.03 sshd
 1146 pi        20   0    8728   4076   3012 S   0.0   0.8   0:01.06 bash
 1194 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0-events
 2019 root      20   0       0      0      0 I   0.0   0.0   0:04.16 kworker/u8:1-events_unbound
 2205 root      20   0       0      0      0 I   0.0   0.0   0:01.76 kworker/0:1-events
 2256 www-data  20   0  236400   3168   1672 S   0.0   0.7   0:00.00 apache2
 2257 www-data  20   0  236400   3168   1672 S   0.0   0.7   0:00.00 apache2
 2312 root      20   0   29548   6936   5864 S   0.0   1.4   0:00.05 cupsd
 2313 root      20   0   42808   9392   8264 S   0.0   1.9   0:00.08 cups-browsed
 2314 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker/2:1-cgroup_destroy
 2331 root      20   0       0      0      0 I   0.0   0.0   0:00.37 kworker/1:3-events
 2612 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:2H
 2613 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:2H
 2678 root      20   0       0      0      0 I   0.0   0.0   0:00.46 kworker/u8:3-events_unbound
 2709 root      20   0       0      0      0 I   0.0   0.0   0:00.69 kworker/0:2-events
 2710 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/1:2-events_power_efficient
 2741 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/u8:0-events_unbound
 2771 pi        20   0    4288   1144   1028 T   0.0   0.2   0:15.53 cars
 2772 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H
 2773 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H
 2774 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker/1:0-mm_percpu_wq
 2781 root      20   0       0      0      0 I   0.0   0.0   0:00.66 kworker/u8:2-brcmf_wq/mmc1:0001:1
 2867 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H
 2892 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0-events
 2921 pi        20   0    6488    372    316 S   0.0   0.1   0:00.01 tee
